項次,縣市,流向編號,場所名稱,地址,功能,場所類別,面積(m²),B1~B7核准填埋量(m³),B1~B7剩餘填埋量(m³),B1~B7核准處理量/年(m³),B6~B7核准處理量/年(m³),營運期限,收受土質,latitude,longitude,geocode_status
26,桃園市,DLA11372,財嘉昌股份有限公司,桃園市八德區長興路忠孝巷32號,加工型,砂石場,19912.83,0.0,0.0,557836.0,0,2022/01/01~2026/12/31,B1、B2-1、B5,,,NOT_FOUND
27,桃園市,DLF15481,佰歲興業股份有限公司,桃園市新屋區頭洲里青草坡2-1號,加工型,砂石場,10527.37,0.0,0.0,294803.0,0,2012/05/20~2027/05/20,B1、B2-1、B5,,,NOT_FOUND
28,桃園市,DXL26216,宥辰興業股份有限公司,桃園市八德區大竹段,加工型,砂石場,25357.0,0.0,0.0,712013.0,0,2024/12/23~2029/12/22,B1、B2-1、B5,,,NOT_FOUND
29,桃園市,DYD07552,旺泰股份有限公司,桃園市平鎮區快速一段200號,加工型,砂石場,10591.39,0.0,0.0,296905.0,0,2025/03/28~2030/03/27,B1、B2-1、B5,,,NOT_FOUND
30,桃園市,DYI26011,石鼎土石方資源堆置處理場,桃園市新屋區深圳里7鄰濱海路深圳段11號,加工型,私人團體設置土資場,14484.0,0.0,0.0,644000.0,0,2025/09/25~2030/09/24,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
31,桃園市,DEL22124,上福土石方資源堆置處理場,桃園市觀音區保障里8鄰52-27號,轉運型,私人團體設置土資場,17297.2,0.0,0.0,528000.0,0,2005/12/21~2028/12/20,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
32,桃園市,DEE03006,泰暘砂石有限公司,桃園市大園區圳頭里1鄰後館一路429號,加工型,砂石場,13663.0,0.0,0.0,360000.0,0,2020/04/29~2030/04/29,B1、B2-1、B2-2、B2-3、B5、B6、B7,,,NOT_FOUND
33,桃園市,DHA08483,石繶工業股份有限公司,桃園市蘆竹區南崁路二段142巷8-1號,加工型,砂石場,11438.99,0.0,0.0,358004.0,0,2018/01/01~2027/12/31,B1、B2-1、B5,,,NOT_FOUND
34,桃園市,DHA17765,巨讚實業有限公司,桃園市新屋區東福路521號,加工型,砂石場,19665.0,0.0,0.0,455520.0,0,2023/01/05~2028/01/04,B1、B2-1、B5,,,NOT_FOUND
35,桃園市,DHA21009,全國砂石廠,桃園市蘆竹區內厝里內厝108-6號,加工型,砂石場,29784.83,0.0,0.0,834886.0,0,2023/01/05~2028/01/04,B1、B2-1、B5,,,NOT_FOUND
36,桃園市,DHA23932,徐田企業股份有限公司,桃園市大園區圳頭里濱海路三段3號,加工型,砂石場,19354.0,0.0,0.0,230096.0,0,2023/01/05~2028/01/04,B1、B2-1、B5,,,NOT_FOUND
37,桃園市,DHA25007,鼎鐘實業行,桃園市新屋區頭洲里鼎鐘路210號,加工型,砂石場,17921.28,0.0,0.0,397120.0,0,2023/01/08~2028/01/07,B1、B2-1、B5,,,NOT_FOUND
38,桃園市,DHE21054,詠源土石方資源堆置轉運處理場,桃園市蘆竹區海湖里海湖北路306號,轉運型,私人團體設置土資場,17399.0,0.0,0.0,510000.0,0,2008/05/15~2028/05/15,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
39,桃園市,DHK03478,新品土石方資源堆置處理場,桃園市楊梅區高上路一段587號,轉運型,私人團體設置土資場,16210.0,0.0,0.0,480000.0,0,2018/11/01~2028/10/31,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
40,桃園市,DGH23454,保障土石方資源堆置處理場,桃園市觀音區保障里5鄰西濱路四段273號,轉運型,私人團體設置土資場,19273.53,0.0,0.0,720000.0,0,2022/08/21~2027/08/20,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
41,新竹市,DFD21753,日通營建剩餘土石方資源堆置場(顯耀股份有限公司),新竹市港北里西濱路一段1巷175號,加工型,私人團體設置土資場,29207.13,0.0,0.0,500000.0,0,2021/04/03~2026/04/02,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
42,新竹市,DHB25633,世峰土石方資源堆置及營建混合物資源處理場,新竹市海埔路500巷20-1號,加工型、轉運型,私人團體設置土資場,14407.59,0.0,0.0,693750.0,0,2023/02/21~2028/02/20,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
43,新竹市,DBD09517,榮新土石方資源堆置場(強富工程股份有限公司),新竹市嘉濱路76號,加工型、轉運型,私人團體設置土資場,14404.33,0.0,0.0,425000.0,0,2022/04/29~2027/04/28,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
44,新竹市,DEJ27276,廣柏土石方資源堆置及營建混合物處理場,新竹市,加工型、轉運型,私人團體設置土資場,17380.67,0.0,0.0,500000.0,0,2023/10/27~2028/10/26,B1、B2-1、B2-2、B2-3、B3、B4、B5,24.8066333,120.9686833,OK
45,新竹縣,DHD24715,全民土石方資源堆置處理場,新竹縣新豐鄉埔和村19鄰埔頂237之5號,轉運型,私人團體設置土資場,19292.24,0.0,0.0,1146880.0,127050,2023/04/17~2030/04/16,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
46,新竹縣,DTH11782,紘園土石方資源堆置場,新竹縣寶山鄉三叉凸段2554-0000地號等64筆土地,填埋型、轉運型,私人團體設置土資場,109121.0,1800000.0,1020620.1,925000.0,0,2020/08/11~2028/08/10,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
47,新竹縣,DUL02162,才富土石方資源堆置場,新竹縣寶山鄉雞油凸段雞油凸小段328地號等71筆,填埋型,私人團體設置土資場,142212.0,4600000.0,2925950.4,618888.0,0,2021/12/01~2030/01/31,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
48,新竹縣,DAH00022,芎林鄉建潮實業股份有限公司土資場(砂石場),新竹縣芎林鄉永興村富林路一段603號,加工型,私人團體設置土資場,38840.0,0.0,0.0,1764000.0,0,2000/10/26~2030/12/31,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
49,新竹縣,DEL08715,大山土石方既有處理場,新竹縣竹北市縣政九路80號4樓,加工型,私人團體設置土資場,12456.68,0.0,0.0,1600200.0,144000,2005/11/28~2025/11/27,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
50,新竹縣,DEL19676,鼎新土石方資源堆置處理場,新竹縣湖口鄉和興村7鄰和豐路65巷67號,加工型、轉運型,私人團體設置土資場,14144.0,0.0,0.0,792000.0,0,2005/01/11~2029/12/11,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
51,新竹縣,DII14430,詠炬企業股份有限公司,新竹縣竹東鎮雞油林段,加工型,私人團體設置土資場,10986.0,0.0,0.0,781200.0,0,2009/03/30~2029/03/29,B1、B2-1、B2-2、B2-3、B3、B5,,,NOT_FOUND
